업체명,모델명,연료,도심주행연비,고속도로연비
볼보,볼보 V60CCB5 AWD,휘발유,8.7,11.9
볼보,볼보 XC60T8 AWD,전기+휘발유,16.6,17.1
벤츠,Mercedes-Benz GLC 220 d 4MATIC,경유,13.8,15.5
벤츠,Mercedes-Benz E 450 4MATIC,휘발유,9,13.1
랜드로버,더 뉴 레인지로버 P550e SWB,전기+휘발유,11.5,13.1
볼보,볼보 XC60B6 AWD,휘발유,8.8,11.5
볼보,볼보 S60B5,휘발유,10.5,14.3
벤츠,Mercedes-Maybach S 580,휘발유,7,10.1
벤츠,Mercedes-Maybach S 680,휘발유,5,8.3
롤스로이스,Rolls-Royce Cullinan Black Badge,휘발유,4.5,6.9
롤스로이스,Rolls-Royce Cullinan,휘발유,4.6,7.1
벤츠,Mercedes-Benz G 580 with EQ Technology,전기,3.2,2.7
랜드로버,더 뉴 레인지로버 스포츠 P550e,전기+휘발유,11.5,13.1
벤츠,Mercedes-Benz S 500 4MATIC,휘발유,8.4,11.7
벤츠,Mercedes-Benz S 450 4MATIC,휘발유,8.6,12.1
랜드로버,레인지로버 벨라 P400,휘발유,7.3,9.5
토요타,렉서스 UX300h 2WD,휘발유,19.4,16.5
토요타,렉서스 LM500h Executive,휘발유,9.7,10.7
롤스로이스,Rolls-Royce Cullinan Black Badge,휘발유,4.5,6.9
롤스로이스,Rolls-Royce Cullinan,휘발유,4.6,7.1
벤츠,Mercedes-Benz S 580 4MATIC,휘발유,6.9,10
벤츠,Mercedes-Maybach S 580,휘발유,7,10.1
현대,스타리아(US4)라운지 하이브리드 1.6T-GDI 모빌리티 7인 18인치(nC),휘발유,13.5,11.6
현대,스타리아(US4)라운지 하이브리드 1.6T-GDI 모빌리티 9인 18인치(nC),휘발유,13.5,11.6
현대,스타리아(US4)라운지 하이브리드 1.6T-GDI 모빌리티 7인 18인치(C),휘발유,13.1,11.6
현대,스타리아(US4)라운지 하이브리드 1.6T-GDI 모빌리티 9인 18인치(C),휘발유,13.1,11.6
벤츠,Mercedes-Benz E 220 d 4MATIC,경유,14.3,18.9
벤츠,Mercedes-Benz E 200,휘발유,10.6,15.3
벤츠,Mercedes-Benz E 300 4MATIC,휘발유,9.6,13.6
BMW,BMW i4 M50 xDrive,전기,4,4.1
현대,"G80(PE) 2.5T-GDI RWD 20""",휘발유,8.6,12.5
현대,"G80(PE) 2.5T-GDI AWD 20""",휘발유,8.1,12
벤츠,Mercedes-Maybach S 680,휘발유,5,8.3
